的 b
不 t
我 g
是 d
人 a
有 fm
了 m
大 r
國 q
來 k
在 f
們 vx
上 l
他 vp
時 dyf
地 yp
出 uu
以 lq
學 u
可 to
這 j
會 aq
成 gh
家 mgs
到 c
天 hr
為 vz
年 lc
然 drm
要 s
得 md
說 ja
過 nl
個 vq
著 h
能 um
動 jfh
發 xmw
臺 yon
那 z
麼 jwy
去 yu
好 dzz
經 w
就 jx
開 xhh
現 e
作 vl
多 dd
後 mwd
如 do
方 i
事 foe
也 p
看 fb
公 au
面 tqo
起 y
裡 jqz
高 jno
你 v
用 n
業 uk
因 qr
道 kb
分 ap
市 ie
於 iav
外 dl
法 cyu
前 kmn
沒 ch
無 lsm
電 tdl
對 uy
兒 uw
當 x
意 idu
教 yzd
新 ikj
情 ly
所 pj
定 mh
全 jq
實 mdb
美 yr
理 eq
明 dmy
本 khv
頭 hg
氣 lx
都 ydp
進 el
想 kbu
樣 ky
老 ytb
間 xd
重 jf
體 nm
知 lr
物 lh
相 kbm
回 qo
性 ll
果 dk
只 o
政 hyd
和 ko
代 vg
活 cb
加 xo
媽 de
化 vt
親 ik
什 vf
影 dj
灣 cjm
部 io
機 kww
常 xn
正 hy
世 sl
北 kt
花 hvt
合 ao
海 cl
場 ydh
者 yd
表 yc
問 xok
最 nzs
還 qh
感 gj
告 lo
度 js
點 iml
她 dp
少 xjv
種 kjf
資 zrb
利 kn
期 sm
保 vo
友 fa
樂 bww
品 ooo
書 ey
但 vd
師 jbh
產 jjl
平 tv
太 rqv
觀 xoo
空 mwi
安 mdn
變 jd
路 gd
聲 ypw
很 mp
從 ma
爸 axp
真 fba
些 ytz
許 jlf
像 vhq
孩 zi
展 psk
信 vj
今 az
特 lyf
把 fpb
應 jve
東 kd
原 jb
話 jbs
內 nj
病 jhn
星 dls
提 fd
員 obb
總 wqn
愛 enu
畫 eyq
眼 bp
比 tt
受 en
界 qa
統 wt
使 vh
朋 mm
通 an
球 ef
別 oh
打 ft
接 fid
覺 uxx
廣 jsh
計 jfs
結 wyo
選 pps
先 lw
候 vi
認 jpq
望 ide
神 jqs
何 vto
放 idp
