# 西夏文
U+17000 𗀀
U+17001 𗀁
U+17002 𗀂
U+17003 𗀃
U+17004 𗀄
U+17005 𗀅
U+17006 𗀆
U+17007 𗀇
U+17008 𗀈
U+17009 𗀉
U+1700A 𗀊
U+1700B 𗀋
U+1700C 𗀌
U+1700D 𗀍
U+1700E 𗀎
U+1700F 𗀏
U+17010 𗀐
U+17011 𗀑
U+17012 𗀒
U+17013 𗀓
U+17014 𗀔
U+17015 𗀕
U+17016 𗀖
U+17017 𗀗
U+17018 𗀘
U+17019 𗀙
U+1701A 𗀚
U+1701B 𗀛
U+1701C 𗀜
U+1701D 𗀝
U+1701E 𗀞
U+1701F 𗀟
U+17020 𗀠
U+17021 𗀡
U+17022 𗀢
U+17023 𗀣
U+17024 𗀤
U+17025 𗀥
U+17026 𗀦
U+17027 𗀧
U+17028 𗀨
U+17029 𗀩
U+1702A 𗀪
U+1702B 𗀫
U+1702C 𗀬
U+1702D 𗀭
U+1702E 𗀮
U+1702F 𗀯
U+17030 𗀰
U+17031 𗀱
U+17032 𗀲
U+17033 𗀳
U+17034 𗀴
U+17035 𗀵
U+17036 𗀶
U+17037 𗀷
U+17038 𗀸
U+17039 𗀹
U+1703A 𗀺
U+1703B 𗀻
U+1703C 𗀼
U+1703D 𗀽
U+1703E 𗀾
U+1703F 𗀿
U+17040 𗁀
U+17041 𗁁
U+17042 𗁂
U+17043 𗁃
U+17044 𗁄
U+17045 𗁅
U+17046 𗁆
U+17047 𗁇
U+17048 𗁈
U+17049 𗁉
U+1704A 𗁊
U+1704B 𗁋
U+1704C 𗁌
U+1704D 𗁍
U+1704E 𗁎
U+1704F 𗁏
U+17050 𗁐
U+17051 𗁑
U+17052 𗁒
U+17053 𗁓
U+17054 𗁔
U+17055 𗁕
U+17056 𗁖
U+17057 𗁗
U+17058 𗁘
U+17059 𗁙
U+1705A 𗁚
U+1705B 𗁛
U+1705C 𗁜
U+1705D 𗁝
U+1705E 𗁞
U+1705F 𗁟
U+17060 𗁠
U+17061 𗁡
U+17062 𗁢
U+17063 𗁣
U+17064 𗁤
U+17065 𗁥
U+17066 𗁦
U+17067 𗁧
U+17068 𗁨
U+17069 𗁩
U+1706A 𗁪
U+1706B 𗁫
U+1706C 𗁬
U+1706D 𗁭
U+1706E 𗁮
U+1706F 𗁯
U+17070 𗁰
U+17071 𗁱
U+17072 𗁲
U+17073 𗁳
U+17074 𗁴
U+17075 𗁵
U+17076 𗁶
U+17077 𗁷
U+17078 𗁸
U+17079 𗁹
U+1707A 𗁺
U+1707B 𗁻
U+1707C 𗁼
U+1707D 𗁽
U+1707E 𗁾
U+1707F 𗁿
U+17080 𗂀
U+17081 𗂁
U+17082 𗂂
U+17083 𗂃
U+17084 𗂄
U+17085 𗂅
U+17086 𗂆
U+17087 𗂇
U+17088 𗂈
U+17089 𗂉
U+1708A 𗂊
U+1708B 𗂋
U+1708C 𗂌
U+1708D 𗂍
U+1708E 𗂎
U+1708F 𗂏
U+17090 𗂐
U+17091 𗂑
U+17092 𗂒
U+17093 𗂓
U+17094 𗂔
U+17095 𗂕
U+17096 𗂖
U+17097 𗂗
U+17098 𗂘
U+17099 𗂙
U+1709A 𗂚
U+1709B 𗂛
U+1709C 𗂜
U+1709D 𗂝
U+1709E 𗂞
U+1709F 𗂟
U+170A0 𗂠
U+170A1 𗂡
U+170A2 𗂢
U+170A3 𗂣
U+170A4 𗂤
U+170A5 𗂥
U+170A6 𗂦
U+170A7 𗂧
U+170A8 𗂨
U+170A9 𗂩
U+170AA 𗂪
U+170AB 𗂫
U+170AC 𗂬
U+170AD 𗂭
U+170AE 𗂮
U+170AF 𗂯
U+170B0 𗂰
U+170B1 𗂱
U+170B2 𗂲
U+170B3 𗂳
U+170B4 𗂴
U+170B5 𗂵
U+170B6 𗂶
U+170B7 𗂷
U+170B8 𗂸
U+170B9 𗂹
U+170BA 𗂺
U+170BB 𗂻
U+170BC 𗂼
U+170BD 𗂽
U+170BE 𗂾
U+170BF 𗂿
U+170C0 𗃀
U+170C1 𗃁
U+170C2 𗃂
U+170C3 𗃃
U+170C4 𗃄
U+170C5 𗃅
U+170C6 𗃆
U+170C7 𗃇
U+170C8 𗃈
U+170C9 𗃉
U+170CA 𗃊
U+170CB 𗃋
U+170CC 𗃌
U+170CD 𗃍
U+170CE 𗃎
U+170CF 𗃏
U+170D0 𗃐
U+170D1 𗃑
U+170D2 𗃒
U+170D3 𗃓
U+170D4 𗃔
U+170D5 𗃕
U+170D6 𗃖
U+170D7 𗃗
U+170D8 𗃘
U+170D9 𗃙
U+170DA 𗃚
U+170DB 𗃛
U+170DC 𗃜
U+170DD 𗃝
U+170DE 𗃞
U+170DF 𗃟
U+170E0 𗃠
U+170E1 𗃡
U+170E2 𗃢
U+170E3 𗃣
U+170E4 𗃤
U+170E5 𗃥
U+170E6 𗃦
U+170E7 𗃧
U+170E8 𗃨
U+170E9 𗃩
U+170EA 𗃪
U+170EB 𗃫
U+170EC 𗃬
U+170ED 𗃭
U+170EE 𗃮
U+170EF 𗃯
U+170F0 𗃰
U+170F1 𗃱
U+170F2 𗃲
U+170F3 𗃳
U+170F4 𗃴
U+170F5 𗃵
U+170F6 𗃶
U+170F7 𗃷
U+170F8 𗃸
U+170F9 𗃹
U+170FA 𗃺
U+170FB 𗃻
U+170FC 𗃼
U+170FD 𗃽
U+170FE 𗃾
U+170FF 𗃿
U+17100 𗄀
U+17101 𗄁
U+17102 𗄂
U+17103 𗄃
U+17104 𗄄
U+17105 𗄅
U+17106 𗄆
U+17107 𗄇
U+17108 𗄈
U+17109 𗄉
U+1710A 𗄊
U+1710B 𗄋
U+1710C 𗄌
U+1710D 𗄍
U+1710E 𗄎
U+1710F 𗄏
U+17110 𗄐
U+17111 𗄑
U+17112 𗄒
U+17113 𗄓
U+17114 𗄔
U+17115 𗄕
U+17116 𗄖
U+17117 𗄗
U+17118 𗄘
U+17119 𗄙
U+1711A 𗄚
U+1711B 𗄛
U+1711C 𗄜
U+1711D 𗄝
U+1711E 𗄞
U+1711F 𗄟
U+17120 𗄠
U+17121 𗄡
U+17122 𗄢
U+17123 𗄣
U+17124 𗄤
U+17125 𗄥
U+17126 𗄦
U+17127 𗄧
U+17128 𗄨
U+17129 𗄩
U+1712A 𗄪
U+1712B 𗄫
U+1712C 𗄬
U+1712D 𗄭
U+1712E 𗄮
U+1712F 𗄯
U+17130 𗄰
U+17131 𗄱
U+17132 𗄲
U+17133 𗄳
U+17134 𗄴
U+17135 𗄵
U+17136 𗄶
U+17137 𗄷
U+17138 𗄸
U+17139 𗄹
U+1713A 𗄺
U+1713B 𗄻
U+1713C 𗄼
U+1713D 𗄽
U+1713E 𗄾
U+1713F 𗄿
U+17140 𗅀
U+17141 𗅁
U+17142 𗅂
U+17143 𗅃
U+17144 𗅄
U+17145 𗅅
U+17146 𗅆
U+17147 𗅇
U+17148 𗅈
U+17149 𗅉
U+1714A 𗅊
U+1714B 𗅋
U+1714C 𗅌
U+1714D 𗅍
U+1714E 𗅎
U+1714F 𗅏
U+17150 𗅐
U+17151 𗅑
U+17152 𗅒
U+17153 𗅓
U+17154 𗅔
U+17155 𗅕
U+17156 𗅖
U+17157 𗅗
U+17158 𗅘
U+17159 𗅙
U+1715A 𗅚
U+1715B 𗅛
U+1715C 𗅜
U+1715D 𗅝
U+1715E 𗅞
U+1715F 𗅟
U+17160 𗅠
U+17161 𗅡
U+17162 𗅢
U+17163 𗅣
U+17164 𗅤
U+17165 𗅥
U+17166 𗅦
U+17167 𗅧
U+17168 𗅨
U+17169 𗅩
U+1716A 𗅪
U+1716B 𗅫
U+1716C 𗅬
U+1716D 𗅭
U+1716E 𗅮
U+1716F 𗅯
U+17170 𗅰
U+17171 𗅱
U+17172 𗅲
U+17173 𗅳
U+17174 𗅴
U+17175 𗅵
U+17176 𗅶
U+17177 𗅷
U+17178 𗅸
U+17179 𗅹
U+1717A 𗅺
U+1717B 𗅻
U+1717C 𗅼
U+1717D 𗅽
U+1717E 𗅾
U+1717F 𗅿
U+17180 𗆀
U+17181 𗆁
U+17182 𗆂
U+17183 𗆃
U+17184 𗆄
U+17185 𗆅
U+17186 𗆆
U+17187 𗆇
U+17188 𗆈
U+17189 𗆉
U+1718A 𗆊
U+1718B 𗆋
U+1718C 𗆌
U+1718D 𗆍
U+1718E 𗆎
U+1718F 𗆏
U+17190 𗆐
U+17191 𗆑
U+17192 𗆒
U+17193 𗆓
U+17194 𗆔
U+17195 𗆕
U+17196 𗆖
U+17197 𗆗
U+17198 𗆘
U+17199 𗆙
U+1719A 𗆚
U+1719B 𗆛
U+1719C 𗆜
U+1719D 𗆝
U+1719E 𗆞
U+1719F 𗆟
U+171A0 𗆠
U+171A1 𗆡
U+171A2 𗆢
U+171A3 𗆣
U+171A4 𗆤
U+171A5 𗆥
U+171A6 𗆦
U+171A7 𗆧
U+171A8 𗆨
U+171A9 𗆩
U+171AA 𗆪
U+171AB 𗆫
U+171AC 𗆬
U+171AD 𗆭
U+171AE 𗆮
U+171AF 𗆯
U+171B0 𗆰
U+171B1 𗆱
U+171B2 𗆲
U+171B3 𗆳
U+171B4 𗆴
U+171B5 𗆵
U+171B6 𗆶
U+171B7 𗆷
U+171B8 𗆸
U+171B9 𗆹
U+171BA 𗆺
U+171BB 𗆻
U+171BC 𗆼
U+171BD 𗆽
U+171BE 𗆾
U+171BF 𗆿
U+171C0 𗇀
U+171C1 𗇁
U+171C2 𗇂
U+171C3 𗇃
U+171C4 𗇄
U+171C5 𗇅
U+171C6 𗇆
U+171C7 𗇇
U+171C8 𗇈
U+171C9 𗇉
U+171CA 𗇊
U+171CB 𗇋
U+171CC 𗇌
U+171CD 𗇍
U+171CE 𗇎
U+171CF 𗇏
U+171D0 𗇐
U+171D1 𗇑
U+171D2 𗇒
