U+2EA5 ⺥ {⺥K}
U+2EA7 ⺧ ⿶丿土
U+2EAA ⺪ ⿻㇇止
U+2EAC ⺬ ⿱二小
U+2EB6 ⺶ ⿱䒑{𰀁歪}
U+2EB7 ⺷ ⿱丷王
U+2EBB ⺻ ⿻{反𰀂}丄
U+2EBC ⺼ ⿵⺆冫
U+2ECA ⻊ ⿱口止
U+2ECC ⻌ ⻌
U+2ECD ⻍ ⿱丶{辶G}
U+2ECE ⻎ {辶G}
U+2ED5 ⻕ ⿸{段左去三}⿳{コ}{コ}{コ}
U+2EDE ⻞ ⿱亽{⻞下}[G] ⿱亼{⻞下}[THJK]
U+3400 㐀 ⿻卝一
U+3403 㐃 ⿻{Δ}丨
U+353F 㔿 ⿻一丩
U+3773 㝳 ⿻一{小丶}
U+37A2 㞢 ⿻凵丄
U+382A 㠪 ⿻一上
U+38FA 㣺 ⿷忄丶
U+39AE 㦮 ⿻三{戈去一}
U+3ACA 㫊 ⿰方⿱{𠂉下一}⿰口亅
U+3ACC 㫌 ⿰方⿱{𠂉下一}止
U+3E09 㸉 ⿱{%火火包1}辛{%火火包2}火 ⿱⿲辛火火火
U+41C2 䇂 ⿻立丨
U+459D 䖝 ⿻丿虫
U+4DB9 䶹 ⿻凵丿
U+4E02 丂 ⿻一㇉
U+4E04 丄 ⿻丨一
U+4E05 丅 ⿻一丨
U+4E07 万 ⿻一{万下}
U+4E08 丈 ⿻𠂇㇏
U+4E0A 上 ⿻⺊一
U+4E0B 下 ⿻一卜
U+4E0C 丌 ⿻一{丿丨}
U+4E0D 不 ⿸丆卜
U+4E10 丐 ⿻{𝍴}㇉[GTHJK] ⿻⿹{𝍴}丨𠃌[V]
U+4E11 丑 ⿹𠃍⿻丨二[GVU] ⿻𠃍⿻丨二[THJK]
U+4E14 且 ⿻{⺝无钩}一
U+4E18 丘 ⿻{丘去一}一
U+4E19 丙 ⿻一内
U+4E1A 业 ⿻{亚中}一
U+4E21 両 ⿻一{両下}
U+4E25 严 ⿱{亚上}厂
U+4E27 丧 ⿱{啬上}{𧘇下}
U+4E29 丩 ⿻𠄌丨
U+4E2B 丫 ⿻丷丨
U+4E31 丱 ⿲𠄌{丿丨}𠃎
U+4E3B 主 ⿻丶王
U+4E43 乃 乃
U+4E44 乄 ⿻㇢丶
U+4E47 乇 ⿻丿七
U+4E4C 乌 ⿹⿺勹㇉一
U+4E4E 乎 ⿻丿{乎下}
U+4E60 习 ⿹𠃌冫
U+4E61 乡 ⿶{纟上}丿
U+4E8A 亊 ⿻⿱一丷{⺕交亅}
U+4E8B 事 ⿻𠮛{⺕交亅}
U+4E8E 于 ⿻一𬺰
U+4E8F 亏 ⿻二㇉
U+4E92 互 ⿻一彑
U+4E94 五 五
U+4E99 亙 ⿻⿱一{亙中}一
U+4E9A 亚 ⿻一业
U+4E9E 亞 ⿻一{亞下}
U+4EA1 亡 ⿻亠𠃊
U+4EA7 产 ⿻立丿
U+5140 兀 ⿻一儿
U+5165 入 ⿹丿乀
U+516A 兪 ⿱𠓛⿰⺝巜[GK] ⿱亼⿰月巜[T] ⿱𠓛⿰月巜[H] ⿱𠓛⿰{冂中⺀}巜[J] ⿱亼⿰⺝巜[G]
U+5170 兰 ⿱丷三
U+518D 再 ⿻一冉
U+51E2 凢 ⿻丿几
U+51E3 凣 ⿻丨几
U+51F9 凹 ⿻{凹上}一
U+51FA 出 ⿻凵山
U+5343 千 ⿻丿十
U+5347 升 ⿶丿廾
U+536B 卫 ⿻𰆊一
U+53E4 古 古
U+56D9 囙 ⿵ㄇ⿱{コ}一
U+56E7 囧 ⿵ㄇ⿱八𠀃[G] ⿵ㄇ⿱儿𠀃[THJK]
U+56EC 囬 ⿵ㄇ⿻{丨丨}三
U+5782 垂 ⿱⿻千龷一[GJKV] ⿻千⿱⺿二[TH]
U+590A 夊 ⿻𠂊㇏
U+5929 天 ⿻一大
U+592B 夫 ⿻二人
U+592D 夭 ⿻丿大
U+5931 失 ⿻{𠂉下一}人
U+5C11 少 ⿶{小无钩}丿[GTHU] ⿶小丿[JKV]
U+5C22 尢 ⿸𠂇乚
U+5C24 尤 ⿺尢丶
U+5C28 尨 {%犮上1}⿻乚彡{%犮上2}[G] {尨T}[THJ] {%犮上1}⿺乚彡{%犮上2}[K]
U+5C39 尹 ⿻{反𰀂}丿
U+5C6E 屮 ⿻凵丨
U+5DFE 巾 ⿻冂丨
U+5E00 帀 ⿻一巾
U+5E01 币 ⿻丿巾
U+5E72 干 干
U+5E74 年 ⿻⿱{𠂉下一}丨十[GTHV] ⿻{𠂉下一}{𠃋交丨}[JK]
U+5E7E 幾 ⿻⿰幺幺⿻大{戈去一}[GV] ⿻⿰幺幺{%戈1}人{%戈2}[THJK]
U+5F00 开 ⿻一廾
U+5F0B 弋 ⿺𫠠丶
U+5F51 彑 ⿻{互中}一
U+5F58 彘 ⿱彑{%比1}矢{%比2} ⿱彑⿲矢{比左}匕
U+5F67 彧 ⿻⿱一𬺣{𢦑去一}
U+6209 戉 ⿻⿱一𠄌{戈去一}
U+620A 戊 ⿻厂{戈去一}
U+620B 戋 ⿻二{戈去一}
U+6211 我 ⿻⿱丿扌{戈去一}
U+6236 戶 ⿸⺁{コ}
U+6237 户 ⿻丶尸
U+65B9 方 方
U+65C6 旆 ⿰方⿻{𠂉下一}巾
U+65CA 旊 ⿰方⿱{𠂉下一}⿵⿰𠄌㇈丶
U+65D2 旒 {%𭤨}㐬[GHJK] ⿰方⿱⿻{𠂉下一}厶𫶧[T]
U+65E0 无 ⿻二{冘下}
U+66F2 曲 ⿻ㄇ龷
U+66F4 更 ⿻一{更下}
U+672A 未 ⿻二{木去一}
U+6731 朱 ⿻{𠂉下一}{木去一}
U+6B63 正 ⿻一止
U+6B79 歹 ⿻一夕
U+6BCC 毌 ⿻{毌框}{十先丨}
U+6BDB 毛 ⿻丿{二交乚}
U+6C0F 氏 ⿸{氏去𫠠}𫠠
U+6C14 气 ⿱{𠂉下一}⺄
U+6C36 氶 ⿻了{㇇く}
U+706D 灭 ⿻一火
U+70CF 烏 ⿹{烏上}灬
U+722A 爪 ⿸⺁⿰丨㇏
U+723F 爿 ⿹丩丆
U+7247 片 ⿰丿⿱丄𠃍
U+7259 牙 ⿹{𡕒钩}丿
U+725B 牛 ⿶丿𰀁
U+72AD 犭 ⿹{犭上}丿
U+74DC 瓜 ⿸⺁⿰厶㇏[GTHU] ⿸⺁⿰{虫去口}㇏[JKV]
U+7518 甘 ⿵卄二
U+751F 生 ⿶丿龶
U+7528 用 ⿻月丨
U+752A 甪 ⿻丿用
U+752B 甫 ⿺{甫去丶}丶
U+7533 申 ⿻日丨
U+7534 甴 ⿵ㄇ⿱丨二
U+7536 甶 ⿻丿田
U+758B 疋 ⿻乛龰
U+767E 百 ⿱丆日
U+76AE 皮 ⿸{皮去又}又
U+793A 示 ⿱二小[GJKVU] {示无钩}[TH]
U+793B 礻 ⿸{礻左}丶
U+7A74 穴 ⿱宀八
U+7CF8 糸 ⿱幺小[GTHVU] ⿱幺{小无钩}[JK]
U+7F36 缶 ⿻{𠂉下一}山
U+7F8A 羊 ⿱䒑𰀁
U+7F8C 羌 ⿱䒑⿻二儿[G] ⿱⺷儿[THJKV]
U+8002 耂 ⿻土丿
U+800C 而 ⿱丆𦉫
U+8080 肀 ⿻{反𰀂}丨
U+8083 肃 ⿻⿻{反𰀂}{小无钩}{丿丨}
U+8085 肅 ⿻⿻{反𰀂}{十先丨}{𣶒去一}
U+81E3 臣 {%匚1}{臣中}{%匚2}
U+81EA 自 ⿻丿目
U+821F 舟 ⿻丿𮯱[GTHVU] ⿻丿{舟下K}[JK]
U+826E 艮 ⿺𫜹{𧘇下}
U+826F 良 ⿻丶艮[GTHJK] ⿱一艮[V]
U+8279 艹 艹
U+864D 虍 {%虍上}七
U+8840 血 ⿻丿皿
U+8864 衤 ⿸{衤左}{飞右}
U+897E 襾 ⿵⿱一⿻ㄇ{丨丨}一
U+898B 見 ⿱目儿
U+89C1 见 ⿱ㄇ{冘下}
U+8C55 豕 ⿻一𧰨
U+8D70 走 ⿱土龰
U+8DB3 足 ⿱口龰
U+8EAB 身 ⿻𨈑丿
U+8F94 辔 ⿱⿲纟车纟口 ⿱⿲车纟纟口
U+9149 酉 ⿴西一
U+91C6 釆 ⿻丿米
U+91CD 重 ⿱丿{重去丿}
U+9577 長 ⿱{镸上}{𧘇下}
U+9578 镸 ⿱{镸上}厶
U+957F 长 ⿸⿺丿{切左}㇏
U+96B9 隹 ⿰亻{隹去亻}
U+9769 革 ⿱廿{革下}
U+97E6 韦 ⿻⿱二𠃌丨
U+97F1 韱 ⿻⿱丛韭{戈去一}
U+98DB 飛 ⿹飞⿱丿⿻⿻丿飞丨
U+98DF 食 ⿱亽艮[GJ] ⿱亼艮[THKV]
U+98E0 飠 ⿱人{飠下G}[GJVU] ⿱人{飠下T}[THK]
U+9963 饣 ⿱⺈𠄌
U+99AC 馬 ⿹{馬上}灬
U+9A6C 马 ⿹{马上}一
U+9B25 鬥 ⿲𩰋王亅
U+9B3C 鬼 ⿺{鬼去厶}厶
U+9B5A 魚 ⿱{鱼上}灬
U+9C7C 鱼 ⿱{鱼上}一
U+9CE5 鳥 ⿹{鳥上}灬
U+9E1F 鸟 ⿹{鸟上}一
U+9E7F 鹿 ⿸{鹿上}比
U+9EFD 黽 黽
U+9F9C 龜 ⿻丿{龜下}[G] ⿱⺈{龜下}[THJKV]
U+9FB9 龹 ⿻䒑大
U+18B05 𘬅 ⿻干乛
U+18B06 𘬆 ⿻一⿵力丶
U+18B08 𘬈 ⿻丁{㇇く}
U+18B16 𘬖 ⿻一𘲦
U+18B23 𘬣 ⿻一七
U+18B25 𘬥 ⿻一{曳下}
U+18B26 𘬦 ⿻一𭠍
U+18B27 𘬧 ⿻一戈
U+18B2C 𘬬 ⿵⿻二八丄
U+18B2E 𘬮 ⿻一龶
U+18B34 𘬴 ⿻二氺 ⿻二水
U+18B35 𘬵 ⿻⿱二八大
U+18B47 𘭇 ⿻木一
U+18B53 𘭓 ⿻䒑{丿𝍪丶}
U+18B69 𘭩 ⿻卄㇏
U+18B95 𘮕 ⿻⿰{丨丨}丶一
U+18BD6 𘯖 ⿻丿𘲼
U+18C5A 𘱚 ⿻丶几
U+18C8F 𘲏 ⿻{皮去又}㇏
U+20003 𠀃 ⿻ㄇ一
U+20004 𠀄 ⿻乛丄
U+20007 𠀇 ⿵ㄇ二
U+20008 𠀈 ⿻⿸{段左去三}{𠄎形}一
U+20010 𠀐 ⿻中一
U+20011 𠀑 ⿻一⿻冂{冘下}
U+2001B 𠀛 ⿻二内
U+2001C 𠀜 ⿻⿱一{丿𝍪丶}一
U+2001F 𠀟 {%木交1}⿺𠃍㇉{%木交2}
U+2003A 𠀺 ⿵⿱一⿻⺇{⺌下一}{ハ}
U+20061 𠁡 ⿻丨𠃍
