{%⺶} ⿱䒑⿸{𰀁歪}
{%⺷下丿} ⿳丷王⿸丿
{%⺷交丿} ⿱⿻⺷丿
{%⺽⚏换☷1} ⿲{段左}
{%⺽⚏换☷2} 𬺹
{%チ} ⿸{チ}
{%一下弋1} ⿺⿻⿱二
{%一下弋2} ㇂丶
{%一下戈1} ⿻⿱二
{%一下戈2} {戈去一}
{%丁1} ⿹{可去口}
{%丁2} *
{%七交1} ⿻⿱一
{%七交2} 乚
{%丅交1} ⿱一⿻
{%丅交2} 丨
{%丆} ⿱丆
{%丨丨1} ⿲丨
{%丨丨2} 丨
{%丨丨穿1} ⿲丨
{%丨丨穿2} ⿰丨
{%丨丨穿3} *
{%中乚1} ⿰
{%中乚2} ⿺乚
{%中乚3} *
{%丷下厂} ⿸⿱䒑丿
{%丿㇂1} ⿲丿
{%丿㇂2} ㇂
{%丿丨1} ⿲丿
{%丿丨2} 丨
{%丿丨穿1} ⿰⿶丿
{%丿丨穿2} ⿰丨
{%丿丨穿3} *
{%丿乚1} ⿲丿
{%丿乚2} 乚
{%亡1} ⿱亠⿺
{%亡2} 𠃊
{%十下弋1} ⿺⿻⿱土
{%十下弋2} ㇂丶
{%十交1} ⿱一⿻
{%十交2} 丨
{%千下交1} ⿻⿳丿一
{%千下交2} 丨
{%囗交1} ⿻ㄇ⿱
{%囗交2} 一
{%土交1} ⿻⿱一
{%土交2} 丄
{%大交1} ⿻⿱一
{%大交2} 人
{%夫1} ⿻⿱一
{%夫2} 大
{%夫交1} ⿻⿱一
{%夫交2} 大
{%寿上} ⿱{寿上}
{%尸1} ⿰⿹𠃍⿱
{%尸2} 一丿
{%工交1} ⿻⿱一
{%工交2} 丄
{%左丄1} ⿱⿰丨
{%左丄2} 一
{%干1} ⿻⿱一
{%干2} 十
{%干交1} ⿻⿱一
{%干交2} 十
{%弋1} ⿺⿹𫠠
{%弋2} 丶
{%戈交1} ⿻⿱一
{%戈交2} {戈去一}
{%戊1} ⿻⿸厂
{%戊2} {戈去一}
{%戊丶下沉1} ⿻⿸厂
{%戊丶下沉2} {戈去一}
{%戠去日1} ⿻⿱立
{%戠去日2} {戈去一}
{%木交1} ⿻⿱一
{%木交2} {木去一}
{%气} ⿱{𠂉下一}⿹⺄
{%王上交1} ⿱一⿻
{%王上交2} {土先丨}
{%王上穿1} ⿻一⿻
{%王上穿2} 土
{%禾交1} ⿻⿳丿一
{%禾交2} {木去一}
{%耂} ⿱耂
{%臧框1} ⿻⿸𤕫
{%臧框2} {戈去一}
{%舆去车八1} ⿱{%𦥯上框1}
{%舆去车八2} {%𦥯上框2}一
{%龵} ⿱龵
{%𠂇} ⿱𠂇
{%𠤎交1} ⿻⿱丿
{%𠤎交2} 乚
{%𢦏1} ⿻⿱土
{%𢦏2} {戈去一}
{%𢦏土换止1} ⿻⿱止
{%𢦏土换止2} {戈去一}
{%𢦒1} ⿻⿱龶
{%𢦒2} {戈去一}
{%𦥯去爻1} ⿱{%𦥯上框1}
{%𦥯去爻2} {%𦥯上框2}冖
{%𫠠交1} ⿻⿱一
{%𫠠交2} ㇂
{%𭠍交1} ⿻⿱一
{%𭠍交2} {曳下}
{%𰀁1} ⿻⿱一
{%𰀁2} 十
{%𰀁交1} ⿻⿱一
{%𰀁交2} 十
{⺀丨⺀} ⿻丨{⺀⺀}
{⺀廾‥丶} ⿻⿻冫廾⿰{丶丶}丶
{⺀廾丶丶} ⿻⿻冫廾⿰丶丶
{⺀𰀪} ⿰⺀𰀪
{⺆中⺀} ⿵⺆⺀
{⺈中⺀} ⿵⺈⺀
{⺈中丶} ⿵⺈丶
{⺊交二} ⿻⺊二 ⿻二⺊
{⺕中丨} ⿻{反𰀂}丨
{⺕交亅} ⿻{反𰀂}亅
{⺮半} ⿱𠂉丶
{⺿T} 艹
{⻍K} ⻍
{⻎T} {辶G}
{⻕下} ⿰丨⿳{コ}{コ}{コ}
{⻞下} ⿺𫜹{ㅑ}
{〇} 囗
{コ中丨} ⿹𠃍丄
{コ中卜} ⿹𠃍⿱{丨交丶}一
{ユ中丨} ⿹𠃍丄
{ヰ} ⿻{Γ}十
{ヰ上平} ⿻{Γ}十
{ㄇ中𬼽} ⿵ㄇ𬼽
{ㄇ交𰀁} ⿻{⺝无钩}丨
{ㅑ下一} ⿰丨三
{ㅒ下丅} ⿱⿻{丨丨}三丨
{㇇下氺} ⿻了{冫く}
{㇇下𣎴} ⿱㇇𣎴
{㐄钩} ⿻{旡去儿}亅
{㒫上} ⿸{Γ}二
{㒸G} ⿱䒑𧰨
{㠯G} ⿸{Ｐ先丨}{コ}
{㡀下} ⿻冂{小无钩}
{㦮去丶} ⿻三{曳下}
{㦮去丿} ⿺⿻三㇂丶
{一下丗} ⿱⿻二{𝍫}一
{一下井} ⿻三{丿丨}
{一下夫} ⿻三人
{一下豖} ⿱二⿻𧰨丶
{一交丷} ⿻一丷
{一交𝍬} ⿻一{𝍬}
{丄下丅} ⿳丨二丨
{丅下䒑} {%工1}丷{%工2}
{上下示} ⿳⺊三小[GJK] ⿳⺊三{小无钩}[TH]
{丗G} ⿻{带上}一
{丗T} ⿻{带上}一
{丨穿丿丨} {丨穿丿丨}
{丨穿儿} 𫶧
{丩钩} ⿰𠄌亅
{丬歪} ⿰冫丿
{丰G} ⿻三丨
{丰T} ⿻丿𰀁
{丱丿换丨} ⿲𠃊{丨丨}𠃎
{丶下廴} {辶G}
{丿下⺝} ⿻丿⺝
{丿下𠃊} {丿下𠃊}
{丿下𡆪} ⿵{𰃦无钩}龷
{丿下𤰔} ⿱丿𤰔
{丿交土} ⿻丿土
{丿𝍪㇏} {丿𝍪㇏}
{丿𝍪丶} {丿𝍪丶}
{乍下一} ⿱𠂉{ㅑ下一}
{乐上} ⿱丿𠃊
{乑下提} {乑下} ⿰𰀪{𧘇下}
{乑有提} 乑
{习K} ⿹𠃌𰀪
{争下} ⿻{反𰀂}亅
{二下一} 三
{亙中} ⿵{亙中去⺀}⺀
{亙中去⺀} ⿰丨𠃍
{亙中去丶} ⿵{亙中去⺀}丶
{亚中} {亚中}
{亚丷换𠃊𠃎} ⿻一{虛下}
{亞中} {亞中}
{亥中} ⿶𠃋丿
{亦下} {亦下}
{亦下无钩} {亦下}
{人下百} ⿱人百
{倉中} ⿰𫜹丿
{兆左} ⿶丿冫
{其上} ⿵卄三
{其八换儿} ⿱{其上}儿
{冂中⺀} ⿵冂⺀
{冡下} ⿱二𧰨
{凵交出} ⿻凵出
{凵交𠂤} ⿻凵𠂤
{凹上} ⿲丨㇅ㄇ
{办去力} 八
{十先丨} {十先丨}
{卄交口} ⿻𠮛{丨丨}
{卄交木} ⿻龷{木去一}
{卅交丨} ⿻一{川丨}
{卑上} ⿻白丿
{单下} {单下}
{即左} ⿺𫜹厶
{卿中K} ⿸{段左去三}⿱𫜹二
{及G} ⿻乃㇏
{反⻕} ⿱㇏⿰丨⿳匚匚匚
{反匕} ⿶㇏{反乚}[GJK] ⿶一{反乚}[TH]
{反夬} ⿻{Γ}大
{反弓} ⿳{一下𠃑}一㇂
{反臣} ⿹𠃍⿳丨匚丄
{反𠂤} ⿱㇏⿰丨⿱匚匚
{反𦣞} ⿹𠃍⿳丨口丄
{口交山} ⿻口山
{哥上G} 可
{囗中三} {囗中三}
{囗中凵} ⿵ㄇ⿱凵一
{囗交十} ⿻囗十
{囗交卄} ⿻罒一
{囟框} ⿱丿囗
