U+2E80 ⺀ ⺀丶丶
U+2E81 ⺁ ⺁丿丿
U+2E82 ⺂ 乛乛囗囗
U+2E83 ⺃ 乚乚囗囗
U+2E84 ⺄ ⺄⺄囗囗
U+2E85 ⺅ 亻丿丨
U+2E86 ⺆ ⺆丿𠃌
U+2E87 ⺇ ⺇丿⺄
U+2E88 ⺈ ⺈丿㇇
U+2E89 ⺉ 刂丨亅
U+2E8A ⺊ ⺊丨一
U+2E8B ⺋ 㔾𠃌乚
U+2E8C ⺌ ⺌丨丶丿
U+2E8D ⺍ ⺍丶丶丿
U+2E8E ⺎ 一儿{巛}
U+2E8F ⺏ 八儿{巜}
U+2E90 ⺐ 𠂇乚{巛}
U+2E91 ⺑ 八几{巜}
U+2E92 ⺒ 巳𠃍一乚
U+2E93 ⺓ 幺幺幺幺
U+2E94 ⺔ {互中}一{三}
U+2E95 ⺕ ⺕𠃍一一
U+2E96 ⺖ 忄丶丶丨
U+2E97 ⺗ ⺗亅丶丶
U+2E98 ⺘ 扌一亅㇀
U+2E99 ⺙ 攵丿一㇏
U+2E9B ⺛ 匸儿{巛}
U+2E9C ⺜ ⺜丨𠃍一
U+2E9D ⺝ ⺝⺝⺝⺝
U+2E9E ⺞ ⺊夕{⺀}
U+2E9F ⺟ 母𠃊𠃌丶
U+2EA0 ⺠ {民上}{民下}{巛}
U+2EA1 ⺡ 氵丶丶㇀
U+2EA2 ⺢ 氺亅丶丶
U+2EA3 ⺣ 灬丶丶丶
U+2EA4 ⺤ 爫丿丶丿
U+2EA5 ⺥ ⺥丿丿丶
U+2EA6 ⺦ 丬丶㇀丨
U+2EA7 ⺧ 丿土{三}
U+2EA8 ⺨ {犭上}丿{彡}
U+2EA9 ⺩ ⺩⺩⺩⺩
U+2EAA ⺪ ㇇止{三}
U+2EAB ⺫ 罒丨𠃍一
U+2EAC ⺬ 二小{⺀}
U+2EAD ⺭ {礻左}丶{氵}
U+2EAE ⺮ ⺮丿一丶
U+2EAF ⺯ 糹𠃋𠃋丶
U+2EB0 ⺰ 纟𠃋𠃋㇀
U+2EB1 ⺱ ㄇ㐅{氵}
U+2EB2 ⺲ {柬中}丨𠃍一
U+2EB3 ⺳ 冖儿{巜}
U+2EB4 ⺴ 冖儿{巜}
U+2EB5 ⺵ ㄇ〢{〣}
U+2EB6 ⺶ 䒑{キ}{〃}
U+2EB7 ⺷ 丷王{二}
U+2EB8 ⺸ 丨一⺊干
U+2EB9 ⺹ 土丿{彡}
U+2EBA ⺺ ⺕丨{〣}
U+2EBB ⺻ ⺕丨一{三}
U+2EBC ⺼ ⺆冫{三}
U+2EBD ⺽ ⺽丿丨一
U+2EBE ⺾ 艹一丨丨
U+2EBF ⺿ ⺿一丨丨
U+2EC0 ⻀ 丨一⺊{一}
U+2EC1 ⻁ {虍上}七几{巛}
U+2EC2 ⻂ {衤左}{飞右}{氵}
U+2EC3 ⻃ 覀一丨一
U+2EC4 ⻄ 西一丨一
U+2EC5 ⻅ ㄇ儿{巜}
U+2EC6 ⻆ ⺈月丨{〢}
U+2EC7 ⻇ ⺈冂人人
U+2EC8 ⻈ 讠丶㇊
U+2EC9 ⻉ 贝丨𠃍丶
U+2ECA ⻊ 口止{二}
U+2ECB ⻋ 车一𠃋丨
U+2ECC ⻌ ⻌丶㇇乀
U+2ECD ⻍ 丶⻌{⺀}
U+2ECE ⻎ ⻌丶㇇乀
U+2ECF ⻏ 阝㇌丨
U+2ED0 ⻐ 钅丿一𠄌
U+2ED1 ⻑ {镸上}{𧘇下}{⺀}
U+2ED2 ⻒ {镸上}厶{⺀}
U+2ED3 ⻓ 丿{切左}㇏{氵}
U+2ED4 ⻔ 门丶丨𠃌
U+2ED5 ⻕ 亻コココ
U+2ED6 ⻖ 阝㇌丨
U+2ED7 ⻗ ⻗一丶丶
U+2ED8 ⻘ 龶⺝{二}
U+2ED9 ⻙ 二𠃌丨{〣}
U+2EDA ⻚ 丆贝{⺀}
U+2EDB ⻛ ⺇㐅{氵}
U+2EDC ⻜ ⺄{飞右}{氵}
U+2EDD ⻝ 人丶⺕{𧘇下}
U+2EDE ⻞ 人丶⺕二
U+2EDF ⻟ 人{飠下}{⺀}
U+2EE0 ⻠ ⺈𠄌{巜}
U+2EE1 ⻡ 巛丆目{二}
U+2EE2 ⻢ {马上}一{三}
U+2EE3 ⻣ {骨上}⺝{二}
U+2EE4 ⻤ 白儿厶{氵}
U+2EE5 ⻥ {鱼上}一{二}
U+2EE6 ⻦ 勹丶㇉一
U+2EE7 ⻧ ⺊囗㐅{⺀}
U+2EE8 ⻨ 龶夊{⺀}
U+2EE9 ⻩ 龷由八{⺀}
U+2EEA ⻪ 口日乚{巜}
U+2EEB ⻫ 文{斉下}{二}
U+2EEC ⻬ 文{丿丨}{〢}
U+2EED ⻭ 止米凵{〢}
U+2EEE ⻮ 止人凵{〢}
U+2EEF ⻯ 立日乚{巜}
U+2EF0 ⻰ 𠂇{𠤎}丶{氵}
U+2EF1 ⻱ 丿{龜下}{三}
U+2EF2 ⻲ ⺈日日乚
U+2EF3 ⻳ ⺈日乚{巜}
U+2F39 ⼹ ⼹𠃍一一
U+31C0 ㇀ ㇀㇀囗囗
U+31C1 ㇁ ㇁㇁囗囗
U+31C2 ㇂ ㇂㇂囗囗
U+31C3 ㇃ ㇃㇃囗囗
U+31C4 ㇄ ㇄㇄囗囗
U+31C5 ㇅ ㇅㇅囗囗
U+31C6 ㇆ 𠃌𠃌囗囗
U+31C7 ㇇ ㇇㇇囗囗
U+31C8 ㇈ ㇈㇈囗囗
U+31C9 ㇉ ㇉㇉囗囗
U+31CA ㇊ ㇊㇊囗囗
U+31CB ㇋ ㇋㇋囗囗
U+31CC ㇌ ㇌㇌囗囗
U+31CD ㇍ ㇍㇍囗囗
U+31CE ㇎ ㇎㇎囗囗
U+31CF ㇏ ㇏㇏囗囗
U+31D0 ㇐ 一一囗囗
U+31D1 ㇑ 丨丨囗囗
U+31D2 ㇒ 丿丿囗囗
U+31D3 ㇓ 丿丿囗囗
U+31D4 ㇔ 丶丶囗囗
U+31D5 ㇕ 𠃍𠃍囗囗
U+31D6 ㇖ 乛乛囗囗
U+31D7 ㇗ 𠃊𠃊囗囗
U+31D8 ㇘ ㇘㇘囗囗
U+31D9 ㇙ 𠄌𠄌囗囗
U+31DA ㇚ 亅亅囗囗
U+31DB ㇛ 𡿨𡿨囗囗
U+31DC ㇜ 𠃋𠃋囗囗
U+31DD ㇝ 乀乀囗囗
U+31DE ㇞ 𠃑𠃑囗囗
U+31DF ㇟ 乚乚囗囗
U+31E0 ㇠ 乙乙囗囗
U+31E1 ㇡ 𠄎𠄎囗囗
U+31E2 ㇢ ㇁㇁囗囗
U+31E3 ㇣ ㇣口囗囗
