{%⺊下厂} ⿸{⺊下厂}
{%⺽1} ⿲{⺽左}
{%⺽2} 𫜹
{%⺽⚏换☷1} ⿲{段左}
{%⺽⚏换☷2} 𬺹
{%⻍1} {%辶1}
{%⻍2} {%辶2}
{%䇂1} ⿱{立上}{%丁1}
{%䇂2} {%丁2}
{%丁1} ⿹{可去口}
{%丁2} *
{%丨丨1} ⿲丨
{%丨丨2} 丨
{%中丨丨1} ⿲
{%中丨丨2} {丨丨}
{%中丫1} ⿲
{%中丫2} 丫
{%中丿丨1} ⿲
{%中丿丨2} {丿丨}
{%中亅1} ⿲
{%中亅2} 亅
{%中亅3} *
{%中了1} ⿲
{%中了2} 了
{%中亻1} ⿲
{%中亻2} 亻
{%中几1} ⿲
{%中几2} 几
{%中弓1} ⿲
{%中弓2} 弓
{%中日1} ⿲
{%中日2} 日
{%中白1} ⿲
{%中白2} 白
{%中百1} ⿲
{%中百2} 百
{%中自1} ⿲
{%中自2} 自
{%中言1} ⿲
{%中言2} 言
{%丿㇂1} ⿲丿
{%丿㇂2} ㇂
{%丿丨1} ⿲丿
{%丿丨2} 丨
{%丿乚1} ⿲丿
{%丿乚2} 乚
{%亞下1} ⿶{亞下}
{%亞下2} *
{%北1} ⿲{北左}
{%北2} 匕
{%口口包1} ⿻吅
{%口口包2} *
{%吕吕1} ⿻㗊
{%吕吕2} *
{%吕吕包1} ⿻㗊
{%吕吕包2} *
{%呂呂包1} ⿻㗊⿲丿
{%呂呂包2} 丿
{%四1} ⿴四
{%四2} *
{%山1} ⿶⿶
{%山2} 山
{%山3} *
{%左丄1} ⿺丄
{%左丄2} *
{%戊1} ⿻⿸厂
{%戊2} {戈去一}
{%戊丶下沉1} ⿻⿸厂
{%戊丶下沉2} {戈去一}
{%戊左冫1} ⿻⿸{厂左冫}
{%戊左冫2} {戈去一}
{%戌1} ⿻⿸{厂中一}
{%戌2} {戈去一}
{%木木1} ⿻林
{%木木2} *
{%木木包1} ⿻林
{%木木包2} *
{%犮上1} ⿸{犮上}
{%犮上2} *
{%甚去八1} ⿱{卄中二}{%匸1}
{%甚去八2} {%匸2}
{%百1} ⿱一{%中白1}
{%百2} {%中白2}
{%臧框1} ⿻⿸𤕫
{%臧框2} {戈去一}
{%舆去车八1} ⿱{%𦥯上框1}
{%舆去车八2} {%𦥯上框2}一
{%齊1} {%齊去二1}⿱二{%齊去二2}
{%齊2} *
{%齊去二1} ⿵{齊去二}
{%齊去二2} *
{%𠮥交乚} ⿻⿻𠮥乚
{%𢦏土换止1} ⿻⿱止
{%𢦏土换止2} {戈去一}
{%𦣻1} ⿱一{%中自1}
{%𦣻2} {%中自2}
{%𦥓框1} ⿶⿰{段左去三}{コ}
{%𦥓框2} *
{%𦥯上框1} ⿲{段左去一}
{%𦥯上框2} ⿹𠃍二
{%𦥯去爻1} ⿱{%𦥯上框1}
{%𦥯去爻2} {%𦥯上框2}冖
{%𭤨} ⿸𭤨
{÷} {÷}
{⺀廾‥丶} ⿻⿶丶廾{横四点}
{⺀𰀪} ⿰⺀𰀪
{⺆中三} ⿵月一
{⺍下一} {⺍下一}
{⺝刂} 刖
{⺥K} 爫
{⺽左} {⺽左}
{⺿T} 艹
{⻍K} ⻍
{⻕下} ⿷㠯{コ}[GJKU] ⿷{㠯G}{コ}[TH]
{⻞下} ⿻{叚左}一
{チ} {チ}
{テ} ⿱二丿
{ハ} {ハ}
{ㄇ中三} ⿵{⺝无钩}一
{ㄇ中𬼽} ⿵ㄇ𬼽
{ㄇ交𰀁} ⿻{⺝无钩}丨
{ㅑ下一} ⿺上一
{㇇下氺} ⿻了{冫く}
{㇇下𣎴} ⿱㇇𣎴
{㇉上丿} {㇉上丿}
{㐄钩} ⿻匸亅
{㐅㐅} {㐅㐅}
{㐅下朮} ⿷{㐅下𣎳}丶
{㐅下𣎳} {㐅下𣎳}
{㓁G} 㓁
{㝵下} ⿹于丶
{㠯T} {㠯T}
{㡀G} {㡀G}
{㡀K} {㡀K}
{㦮去丶} ⿻二𭠍
{㦮去丿} ⿻二弋
{䒑下口} ⿱丷𠮛
{一下㇉} {一下㇉}
{一下夫} ⿻一夫
{一下𠃑} {与上}
{一交水} ⿻𬺰{㇇く}
{一交氺} ⿻𬺰{冫く}
{一交申} {%十交1}日{%十交2}
{一交𝍬} ⿻一{𝍬}
{丅下䒑} {%工1}丷{%工2}
{与G} 与
{与J} 与
{与上} {与上}
{丗G} ⿻廿丨
{丗T} ⿻{带上}一
{丨下㇀} {丨下㇀}
{丨下三} ⿱丄二
{丨下二} ⿱丄一
{丨左冫} 丬
{丨穿儿} ⿻丨儿
{丩钩} ⿰𠄌亅
{丬歪} ⿰冫丿
{中下平} {中下平}
{丰G} ⿻三丨
{丰T} ⿻{丿下二}丨
{串下平} ⿻中口
{丶廾⺀丶} ⿻⿶丶廾𠁼
{丶廾灬丶} ⿻⿶丶廾{横四点}
{丷下𡗗} ⿻龹一
{丷下𤴓} ⿱丷𤴓
{丽T} ⿱{⚋}{丽下}
{丿下丰} ⿻{丿下二}十
{丿下𰀁} ⿻{丿下二}丨
{丿乛} {丿乛}
{丿交土} 龶
{丿交耒} ⿻{丿下二}木
