{%丄1} ⿻丄⿰
{%丄2} *
{%丄3} *
{%丧去丷1} ⿱{%土1}
{%丧去丷2} {%土2}{𧘇下}
{%丶下匚1} {%亡1}
{%丶下匚2} {%亡2}
{%互1} ⿱一⿴彑
{%互2} *
{%亞下1} ⿶{亞下}
{%亞下2} *
{%四1} ⿴四
{%四2} *
{%戊左冫1} {%戈1}⿰{兆左}
{%戊左冫2} {%戈2}
{%未交1} ⿻未
{%未交2} *
{%羲中1} ⿹{羲中}
{%羲中2} *
{%行1} ⿻行
{%行2} *
{%𡈼1} ⿻𡈼
{%𡈼2} *
{%𦥓框1} ⿶{𦥓框}
{%𦥓框2} *
{⚏} {⚏}
{⺆中⺀} 月
{⺆中三} {⺆中三}
{⺆无钩} ⺆
{⺈中⺀} {亙中}
{⺈中丶} 夕
{⺍丿} 灬
{⺥K} 爫
{⺽左} {⺽左}
{⺿T} 艹
{⻍K} 辶
{⻗去丷} ⿱一⿻冖{小无钩} ⿻丅㓁[G] ⿻丅{㓁G}[THJK]
{⻗去八} ⿱一⿻冖⺌ ⿵⿻丅冖丷
{⻞下} {⻞下}
{〢丨} {𝍫}
{ㄇ中三} {冂中三}
{ㄇ交𰀁} {𬎾下G}
{ㅑ} {ㅑ}
{ㅒ} {ㅒ}
{㇈中丿} {㇈中丿}
{㇉上丿} {㇉上丿}
{㇋交㇏} 廴 ⿻㇋㇏
{㇋交丶} 廴 ⿻㇋丶
{㐄钩} ⿻{旡去儿}亅
{㐆去𠃌} {㐆去𠃌}
{㯎头} {%中言1}木{%中言2}木 {%木木包1}言{%木木包2}
{一下㇉} 丂
{一下𠃑} 丂
{一交丷} 艹
{一交水} ⿻𬺰{㇇く}
{一交氺} ⿻𬺰{冫く}
{上下一} ⿱⺊𠄟
{与上} {与上}
{丨下㇀} {丨下㇀}
{丨交⺿} {带上}
{丨交卄} {带上}
{丨穿丿丨} 川
{丨穿儿} 𫶧
{丩钩} 丩
{丰G} 丰
{丰T} 丰
{丱右} ⿰⺊丨
{串下平} ⿻中口
{丶下匚} 亡
{丶下干} ⿱亠十
{丶下廴} 辶
{丶廾⺀丶} ⿻⿶丶廾⿰⺀丶 ⿻⿶丶廾𠁼
{丷下㇇} {丷下㇇}
{丸G} 丸
{丸T} 丸
{丿下㇉} {㇉上丿}
{丿下𠃊} {乐上}
{丿下𠃑} {丿下㇉}
{丿乁} ⺇
{丿乛} {丿乛}
{丿交土} 龶
{乑有提} ⿱丿{乑下提}
{争下} ⿻{反𰀂}亅
{二下一} 三
{互中} ⿻𠃋𠃍
{亙中去⺀} ⺈
{亙中去丶} 夕
{亞上} ⿱丅⿰{一下𠃑}{亞右}
{亞下} {亞下}
{亥中} 𠂈
{亦下} {亦下}
{亦下无钩} {亦下}
{享上} {享上}
{人下亏} ⿱亼丂
{人下爾} ⿱亼⿵⿻八巾{𬼆𬼆}
{余下} {余下}
{余下无钩} {余下}
{兆左} {丬歪}
{其八换儿} 其
{兼下} {兼下}
{冂中⺀} ⺝
{冂中三} {冂中三}
{冂交𰀁} {冂交𰀁}
{冘下} 儿
{凵中⚋} {凵中⚋}
{凵中⚏} {凵中⚏}
{凵交人} ⿸䶹㇏ ⿻凵人
{凹上} {凹上}
{刃J} ⿹𠃌㐅
{判左G} {判左}
{判左K} {判左}
{制左} ⿻牛冂
{匕G} 匕
{匚中二} {匚中二}
{十交𫡃} ⿻𰀁{丨丨}
{卂十换㐅} {卂十换㐅}
{千交口} ⿱丿𰀉 {%千下交1}口{%千下交2}
{半G} 半
{半K} 半
{卌下一} {卌下一}
{卯头𠁁} {卯头𠁁}
{印左G} {印左G}
{及G} 及
{及T} 及
{反⻕} ⿱{反撇}{反⻕下}
{反匕} ⿶{反撇}{反乚}[GJK] ⿶一{反乚}[TH]
{反巴} ⿶{%匚1}丨{%匚2}{反乚}
{反弓} ⿳{一下𠃑}一㇂
{反犭} ⿸⿻{反撇}㇂{反撇}
{反臣} {反臣}
{反𠂤} ⿱{反撇}𤕪
{反𦣞} {反𦣞}
{反𬼉下} {反𬼉下}
{口下䒑} {口下䒑}
{口下𢆉} ⿱{口下䒑}十
{口交土} ⿱{革下}一 ⿻口土
{口交𡭔} ⿻中{木去十}
{同无钩} 同
{吕交𡭔} ⿻串{木去十}
{囗交十} {囗交十}
{囗交卄} {囗交卄}
{土中八} {%土1}八{%土2} ⿱木一
{土中口} ⿱𰀉一 {%土交1}口{%土交2}
{士下冖} {士下冖}
{壬G} {壬G}
{壬T} {壬T}
{尔上} ⺈
{尹右平} ⿻𫜹丿
{川中＃} ⿻川{＃} ⿻{斉下}{〢丨}
{巨中丨} ⿻巨丨
{巾中＃} ⿻{𬎾下G}{丨丨} ⿻⺝{〢丨} ⿻巾{＃}
{巾交＃} ⿻巾{＃先丨} ⿻冂⿻{〢丨}二 ⿻{冂交𰀁}{丨丨}
{巾无钩} 巾
{干中⺿} {%干交1}⺿{%干交2} ⿻丅{龷卄换⺿}
{干中卄} {%干交1}卄{%干交2} ⿻丅龷
{弓无钩} 弓
{彖交丶} ⿱彑⿻𧰨丶
{手交一} {手交一}
{手旁} 龵
{斉下} {斉下}
{木去十} 八
{未钩} 未
{枾右} ⿻𰀁{丿丨}
{横三点} {糹下}
{横四点} 灬
{横申} 田
{段左} {段左}
{毋G} {毋G}
{毌十交卄} 𣫬
{母中丿} 毋[GTH] {毋G}[JK]
{氏去𫠠} {卬左}
{民上} {攺左G}
{永V} 永
{爪㇏换乚} ⿱丿𫶧
{爫G} 爫
{爰中} {爰中}
{犬交丿} ⿻犬丿 {%犮上1}乂{%犮上2}
{甲交丄} ⿻甲丄
{畏下} ⿱一{𧘇下}
{畏田换丅} ⿱工{𧘇下}
{留左上} {留左上}
{癶去丿} 癶
{癶又换𠂈} {癶又换𠂈}
{祭上𱼀换𠂈} {祭上𱼀换𠂈}
{禺下} {禺下}
{穴头T} ⿱宀儿
{立上} {立上}
{糸言糸} 龻
{糹言糸} 龻
{羊连水} ⿻羊{㇇く}
{羊连氺} ⿻羊{冫く}
{羚左} ⺶
{耒G} ⿻二木
{耒T} ⿻丿未
{肀穿八} ⿻{反𰀂}{小无钩}
{肃去肀} {肃去肀}
{舌G} {舌G}
{舌T} {舌T}
{艮Ｋ换匕} {⻞下}
{艹G} 艹
{菐下} {%⺶}㇏
{華下G} ⿻干龷
{華下T} ⿻干{龷卄换⺿}
{虍七换匕} 虍
{虍上} ⿱⺊{丿乛}
{襾下一} ⿴覀一
{角⺆换冂} 角
{言穿絲} 龻
{辣左} {辣左}
{辶G} 辶
{邦左G} {邦左}
{邦左T} {邦左}
{酉儿换ㅛ} ⿴覀二
{酉儿换𝍪} ⿴覀一
{里土换龶} ⿻甲三 ⿻日龶
{重去丿} ⿱車一
{镸上} {镸上}
{雋下} {雋下}
{非G} 非
{非T} 非
{革下} {革下}
{顾左下} 㔾
{馬王换三} ⿹⿺三㇉灬 ⿺二{焉下} ⿹⿷丂二灬
{馬王换二} ⿹⿺二㇉灬 ⿺一{焉下} ⿹⿷丂一灬
{马上} {马上}
{骨上G} {骨上}
{骨上T} {骨上}
{鱼上} {鱼上}
{鹿上} ⿸广{%コ1}{丨丨}{%コ2}
{麥T} {麥G}
{麥底T} ⿱來夊
{麻G} 麻
{黑上} {黑上}
{黽中} {黽中}
{鼎下} {鼎下}
{齿下} {齿下}
{龜外} ⿰⿱{反𰀂}{反𰀂}{%コ1}㐅{%コ2}
{龷卄换⺿} 龷
{＃} {＃}
{＃先丨} {＃}
{Ｐ先丨} {Ｐ}
{Ｐ先𠃍} {Ｐ}
{𝍫中＃} ⿻{𝍫}{＃} ⿻{ㅒ}{〢丨}
{𝍴} ⿸丅一
{𠁁贯穿} 𠁁
{𠂩左G} {⺽左}
