U+2E80 ⺀ 丶丶
U+2E81 ⺁ 丿丿
U+2E82 ⺂ 乛
U+2E83 ⺃ 乚
U+2E84 ⺄ ⺄
U+2E85 ⺅ 丿丨
U+2E86 ⺆ 丿𠃌
U+2E87 ⺇ 丿⺄
U+2E88 ⺈ 丿㇇
U+2E89 ⺉ 丨亅
U+2E8A ⺊ 丨一
U+2E8B ⺋ 𠃌乚
U+2E8C ⺌ 丨丶丿
U+2E8D ⺍ 丶丶丿
U+2E8E ⺎ 一丿乚
U+2E8F ⺏ 丿㇏丿乚
U+2E90 ⺐ 一丿乚
U+2E91 ⺑ 丿㇏丿㇈
U+2E92 ⺒ 𠃍一乚
U+2E93 ⺓ 𠃋𠃋丶
U+2E94 ⺔ 𠃋𠃍一
U+2E95 ⺕ 𠃍一一
U+2E96 ⺖ 丶丶丨
U+2E97 ⺗ 亅丶丶丶
U+2E98 ⺘ 一亅㇀
U+2E99 ⺙ 丿一丿㇏
U+2E9B ⺛ 一𠃋丿乚
U+2E9C ⺜ 丨𠃍一一
U+2E9D ⺝ 丨𠃌一一
U+2E9E ⺞ 丨一丿㇇丶
U+2E9F ⺟ 𠃊𠃌丶一丶
U+2EA0 ⺠ 𠃍一𠄌一㇂
U+2EA1 ⺡ 丶丶㇀
U+2EA2 ⺢ 亅丶㇀丿丶
U+2EA3 ⺣ 丶丶丶丶
U+2EA4 ⺤ 丿丶丶丿
U+2EA5 ⺥ 丿丿丨㇏
U+2EA6 ⺦ 丶㇀丨
U+2EA7 ⺧ 丿一丨一
U+2EA8 ⺨ 丿㇁丿
U+2EA9 ⺩ 一一丨㇀
U+2EAA ⺪ ㇇丨一丨一
U+2EAB ⺫ 丨𠃍丨丨一
U+2EAC ⺬ 一一亅丿丶
U+2EAD ⺭ 丶㇇丨丶
U+2EAE ⺮ 丿一丶丿一丶
U+2EAF ⺯ 𠃋𠃋丶丶丶丶
U+2EB0 ⺰ 𠃋𠃋㇀
U+2EB1 ⺱ 丨𠃍丿丶
U+2EB2 ⺲ 丨𠃍丶丿一
U+2EB3 ⺳ 丶乛丿乚
U+2EB4 ⺴ 丶乛丿乚
U+2EB5 ⺵ 丨𠃍丨丨
U+2EB6 ⺶ 丶丿一一一丿
U+2EB7 ⺷ 丶丿一一丨一
U+2EB8 ⺸ 丨一丨一一一丨
U+2EB9 ⺹ 一丨一丿
U+2EBA ⺺ 𠃍一一丨
U+2EBB ⺻ 𠃍一一丨一
