U+2E80 ⺀ ⿱丶丶
U+2E81 ⺁ ⿱丿丿
U+2E86 ⺆ ⿰丿𠃌
U+2E87 ⺇ ⿰丿⺄
U+2E88 ⺈ ⿰丿㇇
U+2E8A ⺊ ⿰丨一
U+2E8C ⺌ ⿻丨丷
U+2E8D ⺍ ⿰丶丷
U+2E97 ⺗ ⿻亅⿰丶{丶丶}
U+2E9C ⺜ ⿵ㄇ二
U+2E9D ⺝ ⿵冂二
U+2EA5 ⺥ 爪
U+2EA7 ⺧ ⿶丿土
U+2EA9 ⺩ ⿳一十㇀
U+2EAC ⺬ ⿱二小
U+2EAE ⺮ ⿰{⺮半}{⺮半}
U+2EB6 ⺶ ⿱䒑{𰀁歪}
U+2EB7 ⺷ ⿱䒑土
U+2EBB ⺻ ⿱肀一
U+2EBC ⺼ ⿵⺆冫
U+2EBD ⺽ ⿰{⺽左}𫜹
U+2EBF ⺿ ⿰十十
U+2ECA ⻊ ⿱口止
U+2ECD ⻍ ⿱丶{辶G}
U+2ECE ⻎ ⿳丶㇋乀
U+2ED7 ⻗ ⿱一⿻冖{⺀丨⺀}[GJKVU] ⿱一⿻冖{氺无钩}[TH]
U+2EDE ⻞ ⿱亽{⻞下}[G] ⿱亼{⻞下}[THJK]
U+2F39 ⼹ {%ユ1}一{%ユ2}
U+3022 〢 ⿰丨丨
U+3023 〣 ⿰丨〢
U+3107 ㄇ ⿰丨𠃍
U+3405 㐅 ⿻丿丶
U+353E 㔾 ⿺𠃌乚
U+38FA 㣺 ⿻⿰丶{丶丶}丨
U+39AE 㦮 ⿻三{戈去一}
U+4491 䒑 ⿱丷一
U+4DB9 䶹 ⿻凵丿
U+4E01 丁 ⿱一亅
U+4E03 七 ⿻一乚
U+4E04 丄 ⿱丨一
U+4E05 丅 ⿱一丨
U+4E06 丆 ⿱一丿
U+4E09 三 ⿱一二
U+4E0D 不 ⿸丆卜
U+4E14 且 ⿱{⺝无钩}一
U+4E1A 业 ⿱{亚中}一
U+4E29 丩 ⿰𠄌丨
U+4E2C 丬 ⿰冫丨
U+4E31 丱 ⿰𠂈{丱右}
U+4E37 丷 ⿰丶丿
U+4E42 乂 ⿻丿㇏
U+4E44 乄 ⿻㇢丶
U+4E4B 之 ⿱丶{之下}
U+4E4C 乌 ⿹⿺勹㇉一
U+4E51 乑 ⿱丿{乑下}
U+4E5D 九 ⿻丿㇈
U+4E5F 也 ⿻⿻𠃌丨乚[GJKVU] ⿻⿻𠃍丨乚[TH]
U+4E60 习 ⿹𠃌冫
U+4E61 乡 ⿶{纟上}丿
U+4E86 了 ⿱㇇亅
U+4E8A 亊 ⿻⿱一丷{⺕交亅}
U+4E8B 事 ⿻𠮛{⺕交亅}
U+4E8C 二 ⿱一一
U+4E9E 亞 {%二1}{亞中}{%二2}
U+4EA0 亠 ⿱丶一
U+4EA1 亡 ⿱亠𠃊
U+4EBA 人 ⿸丿㇏
