{%⺽1} ⿲{⺽左}
{%⺽2} 𫜹
{%⺽⚏换☷1} ⿲{段左}
{%⺽⚏换☷2} 𬺹
{%コ1} ⿱⿹𠃍
{%コ2} 一
{%ユ1} ⿱⿹𠃍
{%ユ2} 一
{%丁1} ⿱一⿰
{%丁2} 亅
{%七交1} ⿻⿱一
{%七交2} 乚
{%丅交1} ⿱一⿻
{%丅交2} 丨
{%丨丨1} ⿲丨
{%丨丨2} 丨
{%丨丨穿1} ⿲丨
{%丨丨穿2} ⿰丨
{%丨丨穿3} *
{%丿㇂1} ⿲丿
{%丿㇂2} ㇂
{%丿丨1} ⿲丿
{%丿丨2} 丨
{%丿丨穿1} ⿰⿶丿
{%丿丨穿2} ⿰丨
{%丿丨穿3} *
{%丿乚1} ⿲丿
{%丿乚2} 乚
{%亡1} ⿱亠⿺
{%亡2} 𠃊
{%儿穿1} ⿰⿶丿
{%儿穿2} ⿺乚
{%儿穿3} *
{%匚1} ⿺⿱一
{%匚2} 𠃊
{%匸1} ⿺⿱一
{%匸2} 𠃊
{%十交1} ⿱一⿻
{%十交2} 丨
{%千下交1} ⿱丿⿻⿱一
{%千下交2} 丨
{%囗1} ⿱⿵ㄇ
{%囗2} 一
{%囗交1} ⿻ㄇ⿱
{%囗交2} 一
{%囟框1} ⿱⿵{𰃦无钩}
{%囟框2} 一
{%土1} ⿱⿻十
{%土2} 一
{%土交1} ⿻⿱一
{%土交2} 丄
{%大1} ⿻⿱一
{%大2} 人
{%大交1} ⿻⿱一
{%大交2} 人
{%夫1} ⿻⿱一
{%夫2} 大
{%夫交1} ⿻⿱一
{%夫交2} 大
{%尸1} ⿰{%コ1}
{%尸2} {%コ2}丿
{%山1} ⿶⿻丨⿰
{%山2} *
{%山3} 凵
{%工1} ⿱⿻丅
{%工2} 一
{%工交1} ⿱一⿻
{%工交2} 丄
{%己1} ⿱{%コ1}
{%己2} {%コ2}⿺
{%己3} 𠃊
{%干1} ⿱一⿻
{%干2} 十
{%干交1} ⿱一⿻
{%干交2} 十
{%廿1} ⿱⿵卄
{%廿2} 一
{%弋1} ⿻⿱一
{%弋2} ⿺㇂丶
{%弓1} ⿱{%コ1}
{%弓2} {%コ2}⿺
{%弓3} ㇉
{%戈1} ⿻⿱一
{%戈2} {戈去一}
{%戈交1} ⿻⿱一
{%戈交2} {戈去一}
{%戊1} ⿻⿸厂
{%戊2} {戈去一}
{%木1} ⿻十⿱
{%木2} {木去十}
{%木交1} ⿻⿱一
{%木交2} {木去一}
{%王上交1} ⿱一⿻
{%王上交2} {土先丨}
{%王上穿1} ⿱一⿻
{%王上穿2} 土
{%田1} {%囗1}⿳
{%田2} 十
{%田3} {%囗2}
{%禾1} ⿻千⿱
{%禾2} {木去十}
{%禾交1} ⿻⿳丿一
{%禾交2} {木去一}
{%臼1} ⿱⿲⿱丿⺊
{%臼2} ⿹𠃍一一
{%舆去车八1} ⿱{%𦥯上框1}
{%舆去车八2} {%𦥯上框2}一
{%西1} ⿱一{%囗交1}⿱儿
{%西2} {%囗交2}
{%𠤎交1} ⿻⿱丿
{%𠤎交2} 乚
{%𠥓1} ⿴⿺⿱{コ}
{%𠥓2} ⿺𠃑𠃊⿳⿰丶丨一⿰丿丨
{%𢦏1} ⿻⿱土
{%𢦏2} {戈去一}
{%𢦒1} ⿻⿱龶
{%𢦒2} {戈去一}
{%𦥯上框1} ⿲{段左去一}
{%𦥯上框2} {𠃍中二}
{%𦥯去爻1} ⿱{%𦥯上框1}
{%𦥯去爻2} {%𦥯上框2}冖
{%𫠠1} ⿻⿱一
{%𫠠2} ㇂
{%𫠠交1} ⿻⿱一
{%𫠠交2} ㇂
{%𭠍1} ⿻⿱一
{%𭠍2} {曳下}
{%𭠍交1} ⿻⿱一
{%𭠍交2} {曳下}
{%𰀁1} ⿻⿱一
{%𰀁2} 十
{%𰀁交1} ⿻⿱一
