{%⻍1} ⿺{⻍K}
{%⻍2} *
{%㇄1} ⿺㇄
{%㇄2} *
{%三1} ⿻三⿱
{%三2} *
{%三3} *
{%中丨1} ⿲
{%中丨2} 丨
{%中丨3} *
{%中丨丨1} ⿲
{%中丨丨2} {丨丨}
{%中丫1} ⿲
{%中丫2} 丫
{%中丿丨1} ⿲
{%中丿丨2} {丿丨}
{%中乚1} ⿰
{%中乚2} ⿺乚
{%中乚3} *
{%中亅1} ⿲
{%中亅2} 亅
{%中亅3} *
{%中了1} ⿲
{%中了2} 了
{%中亻1} ⿲
{%中亻2} 亻
{%中几1} ⿲
{%中几2} 几
{%中弓1} ⿲
{%中弓2} 弓
{%中日1} ⿲
{%中日2} 日
{%中白1} ⿲
{%中白2} 白
{%中百1} ⿲
{%中百2} 百
{%中自1} ⿲
{%中自2} 自
{%中言1} ⿲
{%中言2} 言
{%中𠄌1} ⿲
{%中𠄌2} 𠄌
{%丶下廴1} ⿺{丶下廴}
{%丶下廴2} *
{%二1} ⿻二
{%二2} *
{%亞下1} ⿱⿲{亞左}
{%亞下2} {亞右}一
{%几穿1} ⿲
{%几穿2} 几
{%几穿3} *
{%北1} ⿲{北左}
{%北2} 匕
{%夫1} ⿻⿱一
{%夫2} 大
{%夫交1} ⿻⿱一
{%夫交2} 大
{%山1} ⿶⿰
{%山2} *
{%山3} 山
{%左丄1} ⿱⿰丨
{%左丄2} 一
{%干1} ⿱一⿻
{%干2} 十
{%干交1} ⿱一⿻
{%干交2} 十
{%廴1} ⿺廴
{%廴2} *
{%戠去日1} ⿻⿱立
{%戠去日2} 戈
{%百1} ⿱一{%中白1}
{%百2} {%中白2}
{%羲中1} ⿻⿱禾
{%羲中2} 戈
{%行1} ⿻行
{%行2} *
{%辶1} ⿺辶
{%辶2} *
{%首1} ⿱䒑{%中自1}
{%首2} {%中自2}
{%𠃊1} ⿺𠃊
{%𠃊2} *
{%𢦏土换止1} ⿻⿱止
{%𢦏土换止2} 戈
{%𦣻1} ⿱一{%中自1}
{%𦣻2} {%中自2}
{%𦥓框1} ⿶⿰{段左去三}{コ}
{%𦥓框2} *
{⺀廾丶丶} ⿻⿶丶廾{糹下} ⿻⿶丶廾⿲丶丶丶
{⺆中一} {⺆中一}
{⺆中三} {⺆中三}
{⺕交𝍪} {⺕交𝍪}
{⺝无钩} {⺝无钩}
{⺥K} 爫
{⺽左} {𠂩左G}
{⺿T} 艹
{⻍K} 辶
{⻞下} {⻞下}
{⼹交𝍪} {⼹交𝍪}
{コ交丨} {コ交丨}
{テ} ⿱二丿
{ヰ} {ヰ}
{ヰ上平} 𡕒
{ㄇ中一} 𠔼
{ㄇ中三} {冂块}
{ㄇ中人} 𠔿
{ㄇ中儿} 𦉪
{ㄇ中八} {ㄇ中八}
{ㄇ中𬼽} {冂块}
{ㅑ} {ㅑ}
{ㅒ} {ㅒ}
{㇇く} ⿰㇇{𰀠右}
{㇈中丿} ⿹㇈丿 几
{㒫上} ⿳一⺊一
{㒳𠓜换㸚} {冂块}
{㡀G} ⿻氺冂
{㡀K} ⿻{𰀪丨⺀}冂
{䒑下巿} ⿻𢆉冂
{一下井} ⿻三{丿丨}
{一下夫} ⿻三人
{一下干} ⿱二十
{一下龴} {丶下龴}
{一交氺} ⿻𬺰{冫く}
{丄下丅} ⿳丨二丨
{丅下䒑} {%工1}丷{%工2}
{丆下⺝} ⿱一{𰃦中二}
{丆下且} ⿱一{丿下且}
{三交亅} {三交亅}
{上下一} ⿱⺊𠄟
{不去一} ⿸丿卜
{丨左冫} 丬
{丬歪} ⿰冫丿
{丮𰀁换丿⺀} {丮𰀁换丿⺀}
{丰G} 丰
{丰T} 丰
{丶下干} ⿱亠十
{丶下龴} {丶下龴}
{丸G} {丸G}
{丸T} {丸G}
{丹丶换丨} ⿻{月框}丄
{丿一丨} {丿一丨}
{丿下且} {丿下且}
{丿下𰀁} {丿下𰀁}
{丿交飞} ⿻飞丿
{乎下} {乎下}
