{%⺄1} ⿹⺄
{%⺄2} *
{%⺊下厂} ⿱⺊⿸厂
{%⺶} ⿸⺶
{%⺷下丿} ⿸⿱⺷丿
{%⺷交丿} ⿱䒑{%耂}
{%⺽1} ⿻⺽
{%⺽2} *
{%⺽⚏换☷1} ⿻{⺽⚏换☷}
{%⺽⚏换☷2} *
{%⺽下⺽1} {%⺽1}{%⺽1}
{%⺽下⺽2} {%⺽2}{%⺽2}
{%⺽下一1} ⿱{%⺽1}
{%⺽下一2} {%⺽2}一
{%⺽下冖1} ⿱{%⺽1}
{%⺽下冖2} {%⺽2}冖
{%⻍1} ⿺
{%⻍2} {⻍K}
{%コ1} ⿹{コ}
{%コ2} *
{%チ} ⿸{チ}
{%ユ1} ⿹{ユ}
{%ユ2} *
{%㇄1} ⿺
{%㇄2} ㇄
{%䇂1} ⿱立⿰
{%䇂2} 亅
{%䒑下白1} ⿱䒑{%中白1}
{%䒑下白2} {%中白2}
{%一下弋1} ⿶一{%弋1}
{%一下弋2} {%弋2}
{%一下戈1} ⿶一{%戈1}
{%一下戈2} {%戈2}
{%一下戊1} ⿶一{%戊1}
{%一下戊2} {%戊2}
{%丁1} ⿹丁
{%丁2} *
{%丂} ⿻丂
{%七交1} ⿻七
{%七交2} *
{%丄1} ⿱{%中丨1}
{%丄2} {%中丨2}
{%丄3} {%中丨3}一
{%丅交1} ⿻丅
{%丅交2} *
{%三1} ⿳一
{%三2} ⿳一
{%三3} 一
{%严} ⿸严
{%丧去丷1} ⿱⿻十
{%丧去丷2} {畏下}
{%丨丨1} ⿻{丨丨}
{%丨丨2} *
{%丨丨穿1} ⿲{丨丨}
{%丨丨穿2} *
{%丨丨穿3} *
{%中丨1} ⿲丨
{%中丨2} *
{%中丨3} *
{%中丨丨1} ⿲{丨丨}
{%中丨丨2} *
{%中丫1} ⿲丫
{%中丫2} *
{%中丿丨1} ⿲{丿丨}
{%中丿丨2} *
{%中乚1} ⿻乚⿰
{%中乚2} *
{%中乚3} *
{%中亅1} ⿲亅
{%中亅2} *
{%中亅3} *
{%中了1} ⿲了
{%中了2} *
{%中亻1} ⿲亻
{%中亻2} *
{%中几1} ⿲几
{%中几2} *
{%中弓1} ⿲弓
{%中弓2} *
{%中日1} ⿲日
{%中日2} *
{%中白1} ⿲白
{%中白2} *
{%中百1} ⿲百
{%中百2} *
{%中自1} ⿲自
{%中自2} *
{%中言1} ⿲言
{%中言2} *
{%中𠄌1} ⿻𠄌⿰
{%中𠄌2} *
{%丶下匚1} ⿱丶{%匚1}
{%丶下匚2} {%匚2}
{%丶下廴1} ⿺
{%丶下廴2} {丶下廴}
{%丷下厂} ⿱丷⿸厂
{%丿㇂1} ⿻{丿㇂}
{%丿㇂2} *
{%丿下𠀃1} ⿱⿵{𰃦无钩}
{%丿下𠀃2} 一
{%丿丨1} ⿻{丿丨}
{%丿丨2} *
{%丿丨穿1} ⿲{丿丨}
{%丿丨穿2} *
{%丿丨穿3} *
{%丿乚1} ⿻儿
{%丿乚2} *
{%二1} ⿳一
{%二2} 一
{%互1} {%二1}⿴{互中}
{%互2} {%二2}
{%亞下1} ⿱⿻{亞中}
{%亞下2} 一
{%亡1} ⿷亡
{%亡2} *
{%产} ⿸产
{%儿穿1} ⿻儿⿰
{%儿穿2} *
{%儿穿3} *
{%几穿1} ⿻几⿰
{%几穿2} *
{%几穿3} *
{%北1} ⿲
{%北2} {北左}匕
{%匚1} ⿷匚
{%匚2} *
{%匸1} ⿷匸
{%匸2} *
{%十下弋1} ⿶十{%弋1}
{%十下弋2} {%弋2}
{%十交1} ⿻十
{%十交2} *
{%千下交1} ⿻千
{%千下交2} *
{%口口包1} ⿲口
{%口口包2} 口
{%吅吅1} ⿳吅
{%吅吅2} 吅
{%吕吕1} ⿲吕
{%吕吕2} 吕
{%吕吕包1} ⿲吕
{%吕吕包2} 吕
{%囗1} ⿴囗
{%囗2} *
{%囗交1} ⿻囗
{%囗交2} *
{%四1} {%囗1}⿱儿
{%四2} {%囗2}
{%囟框1} ⿴{囟框}
{%囟框2} *
{%土1} ⿻土
{%土2} *
{%土交1} ⿻土
{%土交2} *
{%大1} ⿻大
{%大2} *
{%大交1} ⿻大
{%大交2} *
{%夫1} ⿻夫
{%夫2} *
{%夫交1} ⿻夫
{%夫交2} *
{%寿上} ⿸{寿上}
{%尸1} ⿴尸
{%尸2} *
{%山1} ⿶山⿰
{%山2} *
{%山3} *
{%工1} ⿻工
{%工2} *
{%工交1} ⿻工
{%工交2} *
{%左丄1} ⿺
{%左丄2} 丄
{%己1} ⿻己⿱
{%己2} *
{%己3} *
{%干1} ⿻干
{%干2} *
{%干交1} ⿻干
{%干交2} *
{%廴1} ⿺
{%廴2} 廴
{%廿1} ⿴廿
{%廿2} *
{%弋1} ⿹弋
{%弋2} *
{%弋丶下沉1} ⿷{%𫠠1}
{%弋丶下沉2} {%𫠠2}丶
{%弓1} ⿻弓⿱
{%弓2} *
{%弓3} *
{%戈1} ⿹戈
{%戈2} *
{%戈丶下沉1} ⿷{%𭠍1}
{%戈丶下沉2} {%𭠍2}丶
{%戈交1} ⿻戈
{%戈交2} *
{%戊1} ⿵戊
{%戊2} *
{%戊丶下沉1} ⿷{%𭠍1}⿰丿
{%戊丶下沉2} {%𭠍2}丶
{%戊左冫1} {%戊1}⿰冫
{%戊左冫2} {%戊2}
{%戌1} {%戊1}⿱一
{%戌2} {%戊2}
{%戠去日1} ⿶{立上}{%戈1}
{%戠去日2} {%戈2}
{%木1} ⿻木
{%木2} *
{%木交1} ⿻木
{%木交2} *
{%木木1} ⿲木
{%木木2} 木
{%木木包1} ⿲木
{%木木包2} 木
{%未交1} ⿻⿱一
{%未交2} 木
{%气} ⿹气
{%犮上1} ⿺{%𠂇}
{%犮上2} 丶
{%王上交1} ⿻王
{%王上交2} *
{%王上穿1} ⿻王
{%王上穿2} *
{%甚去八1} ⿱{其上}{%𠃊1}
{%甚去八2} {%𠃊2}
{%田1} ⿴田⿱
{%田2} *
{%田3} *
{%百1} ⿻百⿰
{%百2} *
{%禾1} ⿻禾
{%禾2} *
{%禾交1} ⿻禾
{%禾交2} *
{%羲中1} ⿻⿱禾
{%羲中2} {戈去一}
{%耂} ⿸耂
{%臧框1} {%戈1}⿰{𤕫左}
{%臧框2} {%戈2}
{%臼1} ⿶臼
{%臼2} *
{%舆去车八1} ⿶{舆去车八}
{%舆去车八2} *
{%虍} ⿸虍
{%虍七换匕} ⿸{虍七换匕}
{%虍上} ⿸{虍上}
{%虎} ⿸虎
{%行1} ⿲彳
{%行2} 亍
{%衣1} ⿳亠
